n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1257,rock,paper,1,670,288,299,0.53,0.23,0.24,371,0.3
1258,rock,rock,0,670,289,299,0.53,0.23,0.24,371,0.29
1259,scissors,rock,1,671,289,299,0.53,0.23,0.24,372,0.3
1260,scissors,rock,1,672,289,299,0.53,0.23,0.24,373,0.3
1261,scissors,rock,1,673,289,299,0.53,0.23,0.24,374,0.3
1262,scissors,rock,1,674,289,299,0.53,0.23,0.24,375,0.3
1263,scissors,rock,1,675,289,299,0.53,0.23,0.24,376,0.3
1264,scissors,rock,1,676,289,299,0.53,0.23,0.24,377,0.3
1265,rock,paper,1,677,289,299,0.54,0.23,0.24,378,0.3
1266,scissors,paper,-1,677,289,300,0.53,0.23,0.24,377,0.3
1267,rock,rock,0,677,290,300,0.53,0.23,0.24,377,0.3
1268,rock,rock,0,677,291,300,0.53,0.23,0.24,377,0.3
1269,scissors,rock,1,678,291,300,0.53,0.23,0.24,378,0.3
1270,scissors,paper,-1,678,291,301,0.53,0.23,0.24,377,0.3
1271,rock,rock,0,678,292,301,0.53,0.23,0.24,377,0.3
1272,rock,rock,0,678,293,301,0.53,0.23,0.24,377,0.3
1273,scissors,rock,1,679,293,301,0.53,0.23,0.24,378,0.3
1274,scissors,rock,1,680,293,301,0.53,0.23,0.24,379,0.3
1275,scissors,rock,1,681,293,301,0.53,0.23,0.24,380,0.3
1276,scissors,paper,-1,681,293,302,0.53,0.23,0.24,379,0.3
1277,rock,rock,0,681,294,302,0.53,0.23,0.24,379,0.3
1278,scissors,paper,-1,681,294,303,0.53,0.23,0.24,378,0.3
1279,scissors,rock,1,682,294,303,0.53,0.23,0.24,379,0.3
1280,rock,rock,0,682,295,303,0.53,0.23,0.24,379,0.3
1281,scissors,paper,-1,682,295,304,0.53,0.23,0.24,378,0.3
1282,rock,rock,0,682,296,304,0.53,0.23,0.24,378,0.29
1283,scissors,paper,-1,682,296,305,0.53,0.23,0.24,377,0.29
1284,scissors,paper,-1,682,296,306,0.53,0.23,0.24,376,0.29
1285,scissors,rock,1,683,296,306,0.53,0.23,0.24,377,0.29
1286,scissors,rock,1,684,296,306,0.53,0.23,0.24,378,0.29
1287,scissors,rock,1,685,296,306,0.53,0.23,0.24,379,0.29
1288,rock,rock,0,685,297,306,0.53,0.23,0.24,379,0.29
1289,scissors,paper,-1,685,297,307,0.53,0.23,0.24,378,0.29
1290,scissors,paper,-1,685,297,308,0.53,0.23,0.24,377,0.29
1291,scissors,rock,1,686,297,308,0.53,0.23,0.24,378,0.29
1292,rock,rock,0,686,298,308,0.53,0.23,0.24,378,0.29
1293,scissors,rock,1,687,298,308,0.53,0.23,0.24,379,0.29
1294,scissors,paper,-1,687,298,309,0.53,0.23,0.24,378,0.29
1295,scissors,paper,-1,687,298,310,0.53,0.23,0.24,377,0.29
1296,scissors,paper,-1,687,298,311,0.53,0.23,0.24,376,0.29
1297,scissors,paper,-1,687,298,312,0.53,0.23,0.24,375,0.29
1298,rock,rock,0,687,299,312,0.53,0.23,0.24,375,0.29
1299,scissors,rock,1,688,299,312,0.53,0.23,0.24,376,0.29
1300,rock,rock,0,688,300,312,0.53,0.23,0.24,376,0.29
1301,rock,rock,0,688,301,312,0.53,0.23,0.24,376,0.29
1302,rock,rock,0,688,302,312,0.53,0.23,0.24,376,0.29
1303,scissors,rock,1,689,302,312,0.53,0.23,0.24,377,0.29
1304,scissors,rock,1,690,302,312,0.53,0.23,0.24,378,0.29
1305,rock,paper,1,691,302,312,0.53,0.23,0.24,379,0.29
1306,scissors,rock,1,692,302,312,0.53,0.23,0.24,380,0.29
1307,scissors,paper,-1,692,302,313,0.53,0.23,0.24,379,0.29
1308,rock,rock,0,692,303,313,0.53,0.23,0.24,379,0.29
1309,scissors,rock,1,693,303,313,0.53,0.23,0.24,380,0.29
1310,scissors,rock,1,694,303,313,0.53,0.23,0.24,381,0.29
1311,scissors,rock,1,695,303,313,0.53,0.23,0.24,382,0.29
1312,rock,rock,0,695,304,313,0.53,0.23,0.24,382,0.29
1313,scissors,rock,1,696,304,313,0.53,0.23,0.24,383,0.29
1314,scissors,rock,1,697,304,313,0.53,0.23,0.24,384,0.29
1315,scissors,paper,-1,697,304,314,0.53,0.23,0.24,383,0.29
1316,scissors,rock,1,698,304,314,0.53,0.23,0.24,384,0.29
1317,scissors,rock,1,699,304,314,0.53,0.23,0.24,385,0.29
1318,scissors,rock,1,700,304,314,0.53,0.23,0.24,386,0.29
1319,scissors,paper,-1,700,304,315,0.53,0.23,0.24,385,0.29
1320,scissors,paper,-1,700,304,316,0.53,0.23,0.24,384,0.29
1321,scissors,paper,-1,700,304,317,0.53,0.23,0.24,383,0.29
1322,scissors,rock,1,701,304,317,0.53,0.23,0.24,384,0.29
1323,rock,rock,0,701,305,317,0.53,0.23,0.24,384,0.29
1324,rock,rock,0,701,306,317,0.53,0.23,0.24,384,0.29
1325,scissors,rock,1,702,306,317,0.53,0.23,0.24,385,0.29
1326,scissors,rock,1,703,306,317,0.53,0.23,0.24,386,0.29
1327,rock,rock,0,703,307,317,0.53,0.23,0.24,386,0.29
1328,scissors,rock,1,704,307,317,0.53,0.23,0.24,387,0.29
1329,scissors,rock,1,705,307,317,0.53,0.23,0.24,388,0.29
1330,scissors,paper,-1,705,307,318,0.53,0.23,0.24,387,0.29
1331,scissors,rock,1,706,307,318,0.53,0.23,0.24,388,0.29
1332,rock,rock,0,706,308,318,0.53,0.23,0.24,388,0.29
1333,scissors,rock,1,707,308,318,0.53,0.23,0.24,389,0.29
1334,scissors,rock,1,708,308,318,0.53,0.23,0.24,390,0.29
1335,scissors,rock,1,709,308,318,0.53,0.23,0.24,391,0.29
1336,scissors,rock,1,710,308,318,0.53,0.23,0.24,392,0.29
1337,scissors,paper,-1,710,308,319,0.53,0.23,0.24,391,0.29
1338,scissors,rock,1,711,308,319,0.53,0.23,0.24,392,0.29
1339,scissors,rock,1,712,308,319,0.53,0.23,0.24,393,0.29
1340,scissors,rock,1,713,308,319,0.53,0.23,0.24,394,0.29
1341,scissors,rock,1,714,308,319,0.53,0.23,0.24,395,0.29
1342,scissors,rock,1,715,308,319,0.53,0.23,0.24,396,0.3
1343,scissors,rock,1,716,308,319,0.53,0.23,0.24,397,0.3
1344,scissors,paper,-1,716,308,320,0.53,0.23,0.24,396,0.29
1345,scissors,rock,1,717,308,320,0.53,0.23,0.24,397,0.3
1346,scissors,paper,-1,717,308,321,0.53,0.23,0.24,396,0.29
1347,scissors,rock,1,718,308,321,0.53,0.23,0.24,397,0.29
1348,rock,paper,1,719,308,321,0.53,0.23,0.24,398,0.3
1349,scissors,rock,1,720,308,321,0.53,0.23,0.24,399,0.3
1350,scissors,rock,1,721,308,321,0.53,0.23,0.24,400,0.3
1351,scissors,paper,-1,721,308,322,0.53,0.23,0.24,399,0.3
1352,rock,rock,0,721,309,322,0.53,0.23,0.24,399,0.3
1353,scissors,rock,1,722,309,322,0.53,0.23,0.24,400,0.3
1354,scissors,rock,1,723,309,322,0.53,0.23,0.24,401,0.3
1355,rock,rock,0,723,310,322,0.53,0.23,0.24,401,0.3
1356,scissors,rock,1,724,310,322,0.53,0.23,0.24,402,0.3
1357,scissors,paper,-1,724,310,323,0.53,0.23,0.24,401,0.3
1358,rock,paper,1,725,310,323,0.53,0.23,0.24,402,0.3
1359,scissors,paper,-1,725,310,324,0.53,0.23,0.24,401,0.3
1360,scissors,rock,1,726,310,324,0.53,0.23,0.24,402,0.3
1361,scissors,rock,1,727,310,324,0.53,0.23,0.24,403,0.3
1362,scissors,rock,1,728,310,324,0.53,0.23,0.24,404,0.3
1363,rock,paper,1,729,310,324,0.53,0.23,0.24,405,0.3
1364,scissors,rock,1,730,310,324,0.54,0.23,0.24,406,0.3
1365,scissors,paper,-1,730,310,325,0.53,0.23,0.24,405,0.3
1366,scissors,paper,-1,730,310,326,0.53,0.23,0.24,404,0.3
1367,scissors,paper,-1,730,310,327,0.53,0.23,0.24,403,0.29
1368,scissors,rock,1,731,310,327,0.53,0.23,0.24,404,0.3
1369,rock,rock,0,731,311,327,0.53,0.23,0.24,404,0.3
1370,scissors,rock,1,732,311,327,0.53,0.23,0.24,405,0.3
1371,rock,paper,1,733,311,327,0.53,0.23,0.24,406,0.3
1372,scissors,rock,1,734,311,327,0.53,0.23,0.24,407,0.3
1373,scissors,rock,1,735,311,327,0.54,0.23,0.24,408,0.3
1374,scissors,rock,1,736,311,327,0.54,0.23,0.24,409,0.3
1375,rock,paper,1,737,311,327,0.54,0.23,0.24,410,0.3
1376,scissors,rock,1,738,311,327,0.54,0.23,0.24,411,0.3
1377,scissors,rock,1,739,311,327,0.54,0.23,0.24,412,0.3
1378,rock,rock,0,739,312,327,0.54,0.23,0.24,412,0.3
1379,scissors,rock,1,740,312,327,0.54,0.23,0.24,413,0.3
1380,rock,rock,0,740,313,327,0.54,0.23,0.24,413,0.3
1381,rock,paper,1,741,313,327,0.54,0.23,0.24,414,0.3
1382,scissors,paper,-1,741,313,328,0.54,0.23,0.24,413,0.3
1383,scissors,paper,-1,741,313,329,0.54,0.23,0.24,412,0.3
1384,rock,paper,1,742,313,329,0.54,0.23,0.24,413,0.3
1385,scissors,rock,1,743,313,329,0.54,0.23,0.24,414,0.3
1386,scissors,rock,1,744,313,329,0.54,0.23,0.24,415,0.3
1387,scissors,rock,1,745,313,329,0.54,0.23,0.24,416,0.3
1388,scissors,rock,1,746,313,329,0.54,0.23,0.24,417,0.3
1389,scissors,paper,-1,746,313,330,0.54,0.23,0.24,416,0.3
1390,scissors,rock,1,747,313,330,0.54,0.23,0.24,417,0.3
1391,scissors,rock,1,748,313,330,0.54,0.23,0.24,418,0.3
1392,rock,rock,0,748,314,330,0.54,0.23,0.24,418,0.3
1393,scissors,paper,-1,748,314,331,0.54,0.23,0.24,417,0.3
1394,scissors,paper,-1,748,314,332,0.54,0.23,0.24,416,0.3
1395,scissors,rock,1,749,314,332,0.54,0.23,0.24,417,0.3
1396,scissors,rock,1,750,314,332,0.54,0.22,0.24,418,0.3
1397,rock,rock,0,750,315,332,0.54,0.23,0.24,418,0.3
1398,scissors,paper,-1,750,315,333,0.54,0.23,0.24,417,0.3
1399,rock,paper,1,751,315,333,0.54,0.23,0.24,418,0.3
1400,scissors,rock,1,752,315,333,0.54,0.23,0.24,419,0.3
1401,scissors,paper,-1,752,315,334,0.54,0.22,0.24,418,0.3
1402,scissors,rock,1,753,315,334,0.54,0.22,0.24,419,0.3
1403,rock,paper,1,754,315,334,0.54,0.22,0.24,420,0.3
1404,scissors,rock,1,755,315,334,0.54,0.22,0.24,421,0.3
1405,scissors,rock,1,756,315,334,0.54,0.22,0.24,422,0.3
1406,scissors,rock,1,757,315,334,0.54,0.22,0.24,423,0.3
1407,rock,rock,0,757,316,334,0.54,0.22,0.24,423,0.3
1408,scissors,rock,1,758,316,334,0.54,0.22,0.24,424,0.3
1409,scissors,rock,1,759,316,334,0.54,0.22,0.24,425,0.3
1410,scissors,rock,1,760,316,334,0.54,0.22,0.24,426,0.3
1411,rock,rock,0,760,317,334,0.54,0.22,0.24,426,0.3
1412,scissors,rock,1,761,317,334,0.54,0.22,0.24,427,0.3
1413,scissors,paper,-1,761,317,335,0.54,0.22,0.24,426,0.3
1414,scissors,paper,-1,761,317,336,0.54,0.22,0.24,425,0.3
1415,scissors,rock,1,762,317,336,0.54,0.22,0.24,426,0.3
1416,scissors,rock,1,763,317,336,0.54,0.22,0.24,427,0.3
1417,scissors,paper,-1,763,317,337,0.54,0.22,0.24,426,0.3
1418,scissors,paper,-1,763,317,338,0.54,0.22,0.24,425,0.3
1419,scissors,paper,-1,763,317,339,0.54,0.22,0.24,424,0.3
1420,scissors,rock,1,764,317,339,0.54,0.22,0.24,425,0.3
1421,scissors,paper,-1,764,317,340,0.54,0.22,0.24,424,0.3
1422,scissors,rock,1,765,317,340,0.54,0.22,0.24,425,0.3
1423,scissors,rock,1,766,317,340,0.54,0.22,0.24,426,0.3
1424,scissors,rock,1,767,317,340,0.54,0.22,0.24,427,0.3
1425,scissors,paper,-1,767,317,341,0.54,0.22,0.24,426,0.3
1426,scissors,paper,-1,767,317,342,0.54,0.22,0.24,425,0.3
1427,scissors,rock,1,768,317,342,0.54,0.22,0.24,426,0.3
1428,rock,rock,0,768,318,342,0.54,0.22,0.24,426,0.3
1429,scissors,paper,-1,768,318,343,0.54,0.22,0.24,425,0.3
1430,scissors,rock,1,769,318,343,0.54,0.22,0.24,426,0.3
1431,scissors,paper,-1,769,318,344,0.54,0.22,0.24,425,0.3
1432,scissors,rock,1,770,318,344,0.54,0.22,0.24,426,0.3
1433,scissors,paper,-1,770,318,345,0.54,0.22,0.24,425,0.3
1434,rock,paper,1,771,318,345,0.54,0.22,0.24,426,0.3
1435,scissors,rock,1,772,318,345,0.54,0.22,0.24,427,0.3
1436,scissors,paper,-1,772,318,346,0.54,0.22,0.24,426,0.3
1437,rock,rock,0,772,319,346,0.54,0.22,0.24,426,0.3
1438,scissors,rock,1,773,319,346,0.54,0.22,0.24,427,0.3
1439,scissors,paper,-1,773,319,347,0.54,0.22,0.24,426,0.3
1440,scissors,rock,1,774,319,347,0.54,0.22,0.24,427,0.3
1441,scissors,rock,1,775,319,347,0.54,0.22,0.24,428,0.3
1442,scissors,rock,1,776,319,347,0.54,0.22,0.24,429,0.3
1443,rock,rock,0,776,320,347,0.54,0.22,0.24,429,0.3
1444,scissors,rock,1,777,320,347,0.54,0.22,0.24,430,0.3
1445,scissors,rock,1,778,320,347,0.54,0.22,0.24,431,0.3
1446,rock,rock,0,778,321,347,0.54,0.22,0.24,431,0.3
1447,scissors,rock,1,779,321,347,0.54,0.22,0.24,432,0.3
1448,scissors,paper,-1,779,321,348,0.54,0.22,0.24,431,0.3
1449,rock,rock,0,779,322,348,0.54,0.22,0.24,431,0.3
1450,rock,rock,0,779,323,348,0.54,0.22,0.24,431,0.3
1451,scissors,rock,1,780,323,348,0.54,0.22,0.24,432,0.3
1452,scissors,rock,1,781,323,348,0.54,0.22,0.24,433,0.3
1453,scissors,rock,1,782,323,348,0.54,0.22,0.24,434,0.3
1454,scissors,paper,-1,782,323,349,0.54,0.22,0.24,433,0.3
1455,scissors,rock,1,783,323,349,0.54,0.22,0.24,434,0.3
1456,scissors,rock,1,784,323,349,0.54,0.22,0.24,435,0.3
1457,rock,rock,0,784,324,349,0.54,0.22,0.24,435,0.3
1458,scissors,paper,-1,784,324,350,0.54,0.22,0.24,434,0.3
1459,scissors,rock,1,785,324,350,0.54,0.22,0.24,435,0.3
1460,scissors,rock,1,786,324,350,0.54,0.22,0.24,436,0.3
1461,rock,rock,0,786,325,350,0.54,0.22,0.24,436,0.3
1462,scissors,rock,1,787,325,350,0.54,0.22,0.24,437,0.3
1463,scissors,rock,1,788,325,350,0.54,0.22,0.24,438,0.3
1464,scissors,rock,1,789,325,350,0.54,0.22,0.24,439,0.3
1465,scissors,paper,-1,789,325,351,0.54,0.22,0.24,438,0.3
1466,scissors,rock,1,790,325,351,0.54,0.22,0.24,439,0.3
1467,scissors,rock,1,791,325,351,0.54,0.22,0.24,440,0.3
1468,scissors,rock,1,792,325,351,0.54,0.22,0.24,441,0.3
1469,scissors,rock,1,793,325,351,0.54,0.22,0.24,442,0.3
1470,rock,rock,0,793,326,351,0.54,0.22,0.24,442,0.3
1471,scissors,rock,1,794,326,351,0.54,0.22,0.24,443,0.3
1472,scissors,paper,-1,794,326,352,0.54,0.22,0.24,442,0.3
1473,scissors,paper,-1,794,326,353,0.54,0.22,0.24,441,0.3
1474,scissors,paper,-1,794,326,354,0.54,0.22,0.24,440,0.3
1475,scissors,rock,1,795,326,354,0.54,0.22,0.24,441,0.3
1476,scissors,paper,-1,795,326,355,0.54,0.22,0.24,440,0.3
1477,scissors,paper,-1,795,326,356,0.54,0.22,0.24,439,0.3
1478,scissors,rock,1,796,326,356,0.54,0.22,0.24,440,0.3
1479,rock,paper,1,797,326,356,0.54,0.22,0.24,441,0.3
1480,scissors,rock,1,798,326,356,0.54,0.22,0.24,442,0.3
1481,scissors,rock,1,799,326,356,0.54,0.22,0.24,443,0.3
1482,scissors,rock,1,800,326,356,0.54,0.22,0.24,444,0.3
1483,scissors,rock,1,801,326,356,0.54,0.22,0.24,445,0.3
1484,rock,rock,0,801,327,356,0.54,0.22,0.24,445,0.3
1485,scissors,rock,1,802,327,356,0.54,0.22,0.24,446,0.3
1486,scissors,rock,1,803,327,356,0.54,0.22,0.24,447,0.3
1487,scissors,rock,1,804,327,356,0.54,0.22,0.24,448,0.3
1488,scissors,rock,1,805,327,356,0.54,0.22,0.24,449,0.3
1489,scissors,rock,1,806,327,356,0.54,0.22,0.24,450,0.3
1490,scissors,paper,-1,806,327,357,0.54,0.22,0.24,449,0.3
1491,scissors,paper,-1,806,327,358,0.54,0.22,0.24,448,0.3
1492,rock,rock,0,806,328,358,0.54,0.22,0.24,448,0.3
1493,scissors,rock,1,807,328,358,0.54,0.22,0.24,449,0.3
1494,rock,rock,0,807,329,358,0.54,0.22,0.24,449,0.3
1495,rock,rock,0,807,330,358,0.54,0.22,0.24,449,0.3
1496,rock,paper,1,808,330,358,0.54,0.22,0.24,450,0.3
1497,rock,rock,0,808,331,358,0.54,0.22,0.24,450,0.3
1498,scissors,paper,-1,808,331,359,0.54,0.22,0.24,449,0.3
1499,scissors,paper,-1,808,331,360,0.54,0.22,0.24,448,0.3
1500,scissors,rock,1,809,331,360,0.54,0.22,0.24,449,0.3
1501,scissors,rock,1,810,331,360,0.54,0.22,0.24,450,0.3
1502,scissors,rock,1,811,331,360,0.54,0.22,0.24,451,0.3
1503,scissors,paper,-1,811,331,361,0.54,0.22,0.24,450,0.3
1504,scissors,rock,1,812,331,361,0.54,0.22,0.24,451,0.3
1505,scissors,paper,-1,812,331,362,0.54,0.22,0.24,450,0.3
1506,rock,rock,0,812,332,362,0.54,0.22,0.24,450,0.3
1507,scissors,paper,-1,812,332,363,0.54,0.22,0.24,449,0.3
1508,scissors,paper,-1,812,332,364,0.54,0.22,0.24,448,0.3
1509,scissors,rock,1,813,332,364,0.54,0.22,0.24,449,0.3
1510,rock,paper,1,814,332,364,0.54,0.22,0.24,450,0.3
1511,rock,rock,0,814,333,364,0.54,0.22,0.24,450,0.3
1512,scissors,rock,1,815,333,364,0.54,0.22,0.24,451,0.3
1513,scissors,paper,-1,815,333,365,0.54,0.22,0.24,450,0.3
1514,rock,rock,0,815,334,365,0.54,0.22,0.24,450,0.3
1515,scissors,rock,1,816,334,365,0.54,0.22,0.24,451,0.3
1516,rock,rock,0,816,335,365,0.54,0.22,0.24,451,0.3
1517,scissors,rock,1,817,335,365,0.54,0.22,0.24,452,0.3
1518,scissors,paper,-1,817,335,366,0.54,0.22,0.24,451,0.3
1519,rock,rock,0,817,336,366,0.54,0.22,0.24,451,0.3
1520,rock,rock,0,817,337,366,0.54,0.22,0.24,451,0.3
1521,scissors,rock,1,818,337,366,0.54,0.22,0.24,452,0.3
1522,scissors,paper,-1,818,337,367,0.54,0.22,0.24,451,0.3
1523,rock,rock,0,818,338,367,0.54,0.22,0.24,451,0.3
1524,scissors,rock,1,819,338,367,0.54,0.22,0.24,452,0.3
1525,scissors,rock,1,820,338,367,0.54,0.22,0.24,453,0.3
1526,rock,paper,1,821,338,367,0.54,0.22,0.24,454,0.3
1527,scissors,rock,1,822,338,367,0.54,0.22,0.24,455,0.3
1528,scissors,paper,-1,822,338,368,0.54,0.22,0.24,454,0.3
1529,rock,rock,0,822,339,368,0.54,0.22,0.24,454,0.3
1530,rock,rock,0,822,340,368,0.54,0.22,0.24,454,0.3
1531,rock,rock,0,822,341,368,0.54,0.22,0.24,454,0.3
1532,scissors,paper,-1,822,341,369,0.54,0.22,0.24,453,0.3
1533,scissors,paper,-1,822,341,370,0.54,0.22,0.24,452,0.29
1534,scissors,paper,-1,822,341,371,0.54,0.22,0.24,451,0.29
1535,scissors,paper,-1,822,341,372,0.54,0.22,0.24,450,0.29
1536,rock,rock,0,822,342,372,0.54,0.22,0.24,450,0.29
1537,scissors,rock,1,823,342,372,0.54,0.22,0.24,451,0.29
1538,scissors,rock,1,824,342,372,0.54,0.22,0.24,452,0.29
1539,scissors,rock,1,825,342,372,0.54,0.22,0.24,453,0.29
1540,scissors,rock,1,826,342,372,0.54,0.22,0.24,454,0.29
1541,scissors,rock,1,827,342,372,0.54,0.22,0.24,455,0.3
1542,scissors,rock,1,828,342,372,0.54,0.22,0.24,456,0.3
1543,scissors,rock,1,829,342,372,0.54,0.22,0.24,457,0.3
1544,rock,rock,0,829,343,372,0.54,0.22,0.24,457,0.3
1545,scissors,paper,-1,829,343,373,0.54,0.22,0.24,456,0.3
1546,scissors,rock,1,830,343,373,0.54,0.22,0.24,457,0.3
1547,scissors,rock,1,831,343,373,0.54,0.22,0.24,458,0.3
1548,scissors,rock,1,832,343,373,0.54,0.22,0.24,459,0.3
1549,rock,paper,1,833,343,373,0.54,0.22,0.24,460,0.3
1550,scissors,rock,1,834,343,373,0.54,0.22,0.24,461,0.3
1551,scissors,paper,-1,834,343,374,0.54,0.22,0.24,460,0.3
1552,scissors,paper,-1,834,343,375,0.54,0.22,0.24,459,0.3
1553,rock,rock,0,834,344,375,0.54,0.22,0.24,459,0.3
1554,rock,rock,0,834,345,375,0.54,0.22,0.24,459,0.3
1555,scissors,rock,1,835,345,375,0.54,0.22,0.24,460,0.3
1556,scissors,paper,-1,835,345,376,0.54,0.22,0.24,459,0.29
1557,scissors,rock,1,836,345,376,0.54,0.22,0.24,460,0.3
1558,scissors,paper,-1,836,345,377,0.54,0.22,0.24,459,0.29
1559,scissors,rock,1,837,345,377,0.54,0.22,0.24,460,0.3
1560,scissors,rock,1,838,345,377,0.54,0.22,0.24,461,0.3
1561,scissors,rock,1,839,345,377,0.54,0.22,0.24,462,0.3
1562,rock,rock,0,839,346,377,0.54,0.22,0.24,462,0.3
1563,rock,rock,0,839,347,377,0.54,0.22,0.24,462,0.3
1564,scissors,paper,-1,839,347,378,0.54,0.22,0.24,461,0.29
1565,scissors,rock,1,840,347,378,0.54,0.22,0.24,462,0.3
1566,scissors,paper,-1,840,347,379,0.54,0.22,0.24,461,0.29
1567,rock,rock,0,840,348,379,0.54,0.22,0.24,461,0.29
1568,scissors,paper,-1,840,348,380,0.54,0.22,0.24,460,0.29
1569,rock,paper,1,841,348,380,0.54,0.22,0.24,461,0.29
1570,rock,rock,0,841,349,380,0.54,0.22,0.24,461,0.29
1571,scissors,paper,-1,841,349,381,0.54,0.22,0.24,460,0.29
1572,scissors,rock,1,842,349,381,0.54,0.22,0.24,461,0.29
1573,scissors,rock,1,843,349,381,0.54,0.22,0.24,462,0.29
1574,rock,paper,1,844,349,381,0.54,0.22,0.24,463,0.29
1575,scissors,paper,-1,844,349,382,0.54,0.22,0.24,462,0.29
1576,scissors,rock,1,845,349,382,0.54,0.22,0.24,463,0.29
1577,scissors,paper,-1,845,349,383,0.54,0.22,0.24,462,0.29
1578,scissors,paper,-1,845,349,384,0.54,0.22,0.24,461,0.29
1579,rock,rock,0,845,350,384,0.54,0.22,0.24,461,0.29
1580,rock,rock,0,845,351,384,0.53,0.22,0.24,461,0.29
1581,rock,rock,0,845,352,384,0.53,0.22,0.24,461,0.29
1582,scissors,paper,-1,845,352,385,0.53,0.22,0.24,460,0.29
1583,scissors,rock,1,846,352,385,0.53,0.22,0.24,461,0.29
1584,rock,rock,0,846,353,385,0.53,0.22,0.24,461,0.29
1585,scissors,rock,1,847,353,385,0.53,0.22,0.24,462,0.29
1586,rock,rock,0,847,354,385,0.53,0.22,0.24,462,0.29
1587,scissors,rock,1,848,354,385,0.53,0.22,0.24,463,0.29
1588,rock,rock,0,848,355,385,0.53,0.22,0.24,463,0.29
1589,rock,rock,0,848,356,385,0.53,0.22,0.24,463,0.29
1590,scissors,rock,1,849,356,385,0.53,0.22,0.24,464,0.29
1591,rock,paper,1,850,356,385,0.53,0.22,0.24,465,0.29
1592,rock,rock,0,850,357,385,0.53,0.22,0.24,465,0.29
1593,rock,rock,0,850,358,385,0.53,0.22,0.24,465,0.29
1594,scissors,rock,1,851,358,385,0.53,0.22,0.24,466,0.29
1595,rock,rock,0,851,359,385,0.53,0.23,0.24,466,0.29
1596,rock,rock,0,851,360,385,0.53,0.23,0.24,466,0.29
1597,rock,paper,1,852,360,385,0.53,0.23,0.24,467,0.29
1598,rock,paper,1,853,360,385,0.53,0.23,0.24,468,0.29
1599,rock,rock,0,853,361,385,0.53,0.23,0.24,468,0.29
1600,scissors,paper,-1,853,361,386,0.53,0.23,0.24,467,0.29
1601,rock,rock,0,853,362,386,0.53,0.23,0.24,467,0.29
1602,scissors,paper,-1,853,362,387,0.53,0.23,0.24,466,0.29
1603,scissors,rock,1,854,362,387,0.53,0.23,0.24,467,0.29
1604,scissors,paper,-1,854,362,388,0.53,0.23,0.24,466,0.29
1605,scissors,rock,1,855,362,388,0.53,0.23,0.24,467,0.29
1606,scissors,paper,-1,855,362,389,0.53,0.23,0.24,466,0.29
1607,scissors,rock,1,856,362,389,0.53,0.23,0.24,467,0.29
1608,rock,rock,0,856,363,389,0.53,0.23,0.24,467,0.29
1609,scissors,paper,-1,856,363,390,0.53,0.23,0.24,466,0.29
1610,scissors,rock,1,857,363,390,0.53,0.23,0.24,467,0.29
1611,scissors,rock,1,858,363,390,0.53,0.23,0.24,468,0.29
1612,scissors,rock,1,859,363,390,0.53,0.23,0.24,469,0.29
1613,scissors,rock,1,860,363,390,0.53,0.23,0.24,470,0.29
1614,scissors,paper,-1,860,363,391,0.53,0.22,0.24,469,0.29
1615,rock,rock,0,860,364,391,0.53,0.23,0.24,469,0.29
1616,scissors,paper,-1,860,364,392,0.53,0.23,0.24,468,0.29
1617,scissors,rock,1,861,364,392,0.53,0.23,0.24,469,0.29
1618,scissors,rock,1,862,364,392,0.53,0.22,0.24,470,0.29
1619,rock,rock,0,862,365,392,0.53,0.23,0.24,470,0.29
1620,rock,rock,0,862,366,392,0.53,0.23,0.24,470,0.29
1621,scissors,rock,1,863,366,392,0.53,0.23,0.24,471,0.29
1622,scissors,rock,1,864,366,392,0.53,0.23,0.24,472,0.29
1623,scissors,rock,1,865,366,392,0.53,0.23,0.24,473,0.29
1624,scissors,rock,1,866,366,392,0.53,0.23,0.24,474,0.29
1625,rock,paper,1,867,366,392,0.53,0.23,0.24,475,0.29
1626,rock,paper,1,868,366,392,0.53,0.23,0.24,476,0.29
1627,rock,paper,1,869,366,392,0.53,0.22,0.24,477,0.29
1628,scissors,rock,1,870,366,392,0.53,0.22,0.24,478,0.29
1629,scissors,rock,1,871,366,392,0.53,0.22,0.24,479,0.29
1630,rock,rock,0,871,367,392,0.53,0.23,0.24,479,0.29
1631,rock,paper,1,872,367,392,0.53,0.23,0.24,480,0.29
1632,scissors,paper,-1,872,367,393,0.53,0.22,0.24,479,0.29
1633,scissors,rock,1,873,367,393,0.53,0.22,0.24,480,0.29
1634,scissors,rock,1,874,367,393,0.53,0.22,0.24,481,0.29
1635,rock,paper,1,875,367,393,0.54,0.22,0.24,482,0.29
1636,scissors,rock,1,876,367,393,0.54,0.22,0.24,483,0.3
1637,scissors,paper,-1,876,367,394,0.54,0.22,0.24,482,0.29
1638,scissors,rock,1,877,367,394,0.54,0.22,0.24,483,0.29
1639,scissors,rock,1,878,367,394,0.54,0.22,0.24,484,0.3
1640,scissors,rock,1,879,367,394,0.54,0.22,0.24,485,0.3
1641,rock,rock,0,879,368,394,0.54,0.22,0.24,485,0.3
1642,scissors,paper,-1,879,368,395,0.54,0.22,0.24,484,0.29
1643,scissors,rock,1,880,368,395,0.54,0.22,0.24,485,0.3
1644,scissors,rock,1,881,368,395,0.54,0.22,0.24,486,0.3
